,mes,uf,gasto
0,2008-02-01,São Paulo,172.83491472999998
1,2008-03-01,São Paulo,170.48184956
2,2008-04-01,São Paulo,170.27828595
3,2008-05-01,São Paulo,172.40218059
4,2008-06-01,São Paulo,175.41659583
5,2008-07-01,São Paulo,179.5250021
6,2008-08-01,São Paulo,179.89807022
7,2008-09-01,São Paulo,180.08220371000002
8,2008-10-01,São Paulo,191.68522008000002
9,2008-11-01,São Paulo,190.5397388
10,2008-12-01,São Paulo,177.08638069
11,2009-01-01,São Paulo,192.32155736
12,2009-02-01,São Paulo,178.59637679
13,2009-03-01,São Paulo,216.95159157
14,2009-04-01,São Paulo,215.05301845
15,2009-05-01,São Paulo,212.89024816
16,2009-06-01,São Paulo,212.6709008
17,2009-07-01,São Paulo,214.04123742
18,2009-08-01,São Paulo,215.21253608
19,2009-09-01,São Paulo,214.13544445
20,2009-10-01,São Paulo,216.05658261000002
21,2009-11-01,São Paulo,208.97389203999998
22,2009-12-01,São Paulo,192.12709909999998
23,2010-01-01,São Paulo,213.46788576
24,2010-02-01,São Paulo,195.78479523
25,2010-03-01,São Paulo,239.32393216
26,2010-04-01,São Paulo,221.17299121000002
27,2010-05-01,São Paulo,231.77754943
28,2010-06-01,São Paulo,223.93379866
29,2010-07-01,São Paulo,224.06791411
30,2010-08-01,São Paulo,248.01013050999998
31,2010-09-01,São Paulo,224.05298008000003
32,2010-10-01,São Paulo,238.93545274000002
33,2010-11-01,São Paulo,225.48405946
34,2010-12-01,São Paulo,210.61146051
35,2011-01-01,São Paulo,229.08700284
36,2011-02-01,São Paulo,221.59804365
37,2011-03-01,São Paulo,241.39991484
38,2011-04-01,São Paulo,229.82123445
39,2011-05-01,São Paulo,250.79356977
40,2011-06-01,São Paulo,236.80748884
41,2011-07-01,São Paulo,240.198575
42,2011-08-01,São Paulo,247.77001622
43,2011-09-01,São Paulo,233.27928679
44,2011-10-01,São Paulo,232.14220382
45,2011-11-01,São Paulo,223.376817
46,2011-12-01,São Paulo,208.27518655
47,2012-01-01,São Paulo,236.79309761000002
48,2012-02-01,São Paulo,219.39194971
49,2012-03-01,São Paulo,245.94826679
50,2012-04-01,São Paulo,230.94185255000002
51,2012-05-01,São Paulo,251.69721841999998
52,2012-06-01,São Paulo,234.25724225
53,2012-07-01,São Paulo,244.24523034
54,2012-08-01,São Paulo,252.18976902
55,2012-09-01,São Paulo,238.13245609
56,2012-10-01,São Paulo,278.81990914
57,2012-11-01,São Paulo,225.77586012999998
58,2012-12-01,São Paulo,215.78041093000002
59,2013-01-01,São Paulo,253.13677893000002
60,2013-02-01,São Paulo,222.4495292
61,2013-03-01,São Paulo,254.93824241
62,2013-04-01,São Paulo,262.64986582
63,2013-05-01,São Paulo,262.50997531999997
64,2013-06-01,São Paulo,254.00302272
65,2013-07-01,São Paulo,263.07196769
66,2013-08-01,São Paulo,265.89136031
67,2013-09-01,São Paulo,261.81295134
68,2013-10-01,São Paulo,283.88012583
69,2013-11-01,São Paulo,247.97995213
70,2013-12-01,São Paulo,230.48163233000002
71,2014-01-01,São Paulo,269.47173549
72,2014-02-01,São Paulo,250.40240963999997
73,2014-03-01,São Paulo,264.11021192
74,2014-04-01,São Paulo,258.79894355
75,2014-05-01,São Paulo,279.68897763
76,2014-06-01,São Paulo,263.42982531
77,2014-07-01,São Paulo,277.89578558999995
78,2014-08-01,São Paulo,278.1639715
79,2014-09-01,São Paulo,283.48895785
80,2014-10-01,São Paulo,277.24432524
81,2014-11-01,São Paulo,256.17503819
82,2014-12-01,São Paulo,241.67627649000002
83,2015-01-01,São Paulo,265.63723734
84,2015-02-01,São Paulo,238.22885291
85,2015-03-01,São Paulo,285.41673348
86,2015-04-01,São Paulo,264.97707359000003
87,2015-05-01,São Paulo,276.96231295
88,2015-06-01,São Paulo,271.9344606
89,2015-07-01,São Paulo,275.66249833
90,2015-08-01,São Paulo,279.42652863
91,2015-09-01,São Paulo,265.44621319
92,2015-10-01,São Paulo,265.60621169999996
93,2015-11-01,São Paulo,254.55668611000002
94,2015-12-01,São Paulo,243.99913358
95,2016-01-01,São Paulo,260.38224188
96,2016-02-01,São Paulo,249.74007776
97,2016-03-01,São Paulo,281.42627577999997
98,2016-04-01,São Paulo,266.6868187
99,2016-05-01,São Paulo,277.20730795
100,2016-06-01,São Paulo,277.87554889999996
101,2016-07-01,São Paulo,271.35092757999996
102,2016-08-01,São Paulo,278.92920981
103,2016-09-01,São Paulo,265.84450038
104,2016-10-01,São Paulo,266.32500123
105,2016-11-01,São Paulo,257.13377330000003
106,2016-12-01,São Paulo,247.76405487
107,2017-01-01,São Paulo,270.91034153
108,2017-02-01,São Paulo,247.30459141999998
109,2017-03-01,São Paulo,288.97535257
110,2017-04-01,São Paulo,263.47175913
111,2017-05-01,São Paulo,292.11340478
112,2017-06-01,São Paulo,274.30107313999997
113,2017-07-01,São Paulo,283.53461742
114,2017-08-01,São Paulo,300.59373896
115,2017-09-01,São Paulo,267.29724395
116,2017-10-01,São Paulo,287.11478448
117,2017-11-01,São Paulo,267.11324903999997
118,2017-12-01,São Paulo,259.45168590000003
119,2018-01-01,São Paulo,279.49757088999996
120,2018-02-01,São Paulo,254.00462807
121,2018-03-01,São Paulo,285.27055962000003
122,2018-04-01,São Paulo,286.19196506000003
123,2018-05-01,São Paulo,291.44094701999995
124,2018-06-01,São Paulo,278.92601836
125,2018-07-01,São Paulo,285.85191968
126,2018-08-01,São Paulo,295.41931115
